"customer_id","conversation_id","channel","send_time","message","reasoning","issue_status","chat_history"
"117150","10","twitter_dm_reply","2017-11-07T09:00:00Z","Hi 117150, @USER Abdul, we're so sorry to hear about the continued issues. We understand your frustration after 3 years. We'd like to help resolve this ASAP. Could you please provide more details about the problem you're currently experiencing in our DM? We're ready to assist you there. *JonPorter","The customer has expressed negative sentiment and medium urgency. The customer has already been directed to DM, and has sent one. Responding in the same channel (Twitter DM) is the most efficient way to continue the conversation. The message acknowledges the customer's frustration and references the '3 years' comment to show understanding. It also prompts the customer to provide more details, which is necessary to resolve the issue. The timing is within 4-8 hours of the last message, aligning with the medium urgency level. Using the same agent's name (*JonPorter) provides continuity.","pending_customer_reply","2017-09-26 21:39:47 | 117150: Worse experience @USER 0 customer service. 3 years of this? | 2017-09-26 21:39:47 | 117150: Worse experience @USER 0 customer service. 3 years of this? | 2017-09-26 21:43:31 | TMobileHelp: @USER Hey, Abdul! We only want the best service for you at ALL times! Send us a DM, and we'll assist you! *KellenF | 2017-09-26 21:43:31 | TMobileHelp: @USER Hey, Abdul! We only want the best service for you at ALL times! Send us a DM, and we'll assist you! *KellenF | 2017-11-06 18:31:18 | 117150: @USER I need help | 2017-11-06 18:31:18 | 117150: @USER I need help | 2017-11-06 18:34:27 | TMobileHelp: @USER Thanks for reaching out! I see you sent a DM. I will respond to you there. *JonPorter | 2017-11-06 18:34:27 | TMobileHelp: @USER Thanks for reaching out! I see you sent a DM. I will respond to you there. *JonPorter"
"116440","101","twitter_dm_reply","2017-10-31T09:00:00Z","Hi 116440, @USER Sorry for the app confusion! We know it's frustrating when things aren't consistent. The team is working to get all devices updated. In the meantime, could you tell us which phone you're using so we can check compatibility?","The customer is frustrated and confused about app inconsistency, as indicated by their message 'I can't even find it on my phone wtf @USER why don't your apps work the same.' The urgency is medium. Given the customer's impatience (using 'wtf') and the simple inquiry nature, a quick response via Twitter DM is appropriate. Acknowledging their frustration and asking for the phone model allows us to provide a more tailored response and potentially resolve the issue quickly. The time is set to 6 AM UTC, which is 1 AM EST, assuming the customer is in the Eastern Time Zone. This is outside of business hours, but responding quickly on Twitter is important to address the customer's impatience. The previous response from Hulu support was not helpful in resolving the issue, so a more direct and personalized approach is needed.","pending_customer_reply","2017-10-30 00:19:32 | 116440: I can't even find it on my phone wtf @USER why don't your apps work the same. | 2017-10-31 22:56:31 | hulu_support: @USER We haven't updated all devices to the new experience, so there are differences. Maybe this will help:"
"115941","102","twitter_dm_reply","2017-11-01T09:00:00Z","Hi 115941, @USER Melanie, we understand your frustration with the password reset issue and apologize for the delay. Since your account may be compromised, we need to act quickly. We'll DM you a secure link to verify your identity and regain access to your account. Please check your DMs shortly.","Given Melanie's negative sentiment ('hacked'), medium urgency, and impatient behavior (multiple reset requests, 'What can I do?'), a quick response is crucial. The tags 'account_security', 'password_reset', 'email_issue', and 'potential_account_compromise' indicate a security concern that needs immediate attention. While phone support is often preferred for compromised accounts, the previous attempt to direct her to a phone call was unsuccessful and resulted in no further interaction. Therefore, a direct, actionable step via Twitter DM is the best approach to re-engage her and address the immediate need for account access. Providing a secure link directly addresses her request and demonstrates immediate action, which is vital for an impatient customer with a potential security breach. The timing is immediate to address the urgency.","pending_customer_reply","2017-10-30 00:59:06 | 115941: @USER Hi! Someone changed my password (hacked). Asked reset link x 3 over an hour ago - no email. Not in junk. What can I do? | 2017-10-30 00:59:06 | 115941: @USER Hi! Someone changed my password (hacked). Asked reset link x 3 over an hour ago - no email. Not in junk. What can I do? | 2017-10-30 00:59:06 | 115941: @USER Hi! Someone changed my password (hacked). Asked reset link x 3 over an hour ago - no email. Not in junk. What can I do? | 2017-10-31 22:27:44 | hulu_support: @USER Sorry for the delay and trouble, Melanie! So we can get our team on this with you, please call using: | 2017-10-31 22:27:44 | hulu_support: @USER Sorry for the delay and trouble, Melanie! So we can get our team on this with you, please call using: | 2017-10-31 22:27:44 | hulu_support: @USER Sorry for the delay and trouble, Melanie! So we can get our team on this with you, please call using:"
"116165","104","twitter_dm_reply","2017-11-01T09:00:00Z","Hi 116165, @USER We're so sorry to hear about the loading error and the frustration it's causing! Since it's been happening for two weeks, let's try a few quick troubleshooting steps. Could you please confirm the device you're using? In the meantime, try clearing the app cache and restarting your device. Let us know if that helps!","The customer is clearly frustrated and impatient, as indicated by their message and customer cohorts. The urgency is medium. Given the customer's impatience and the simple nature of the initial troubleshooting steps, a quick response via Twitter DM is the best approach. The message acknowledges their frustration, offers a simple solution (clearing cache and restarting), and requests specific information (device type) to further diagnose the issue. This allows for a fast initial response and keeps the conversation moving. Email would be too slow, and a phone call is not yet necessary for this initial troubleshooting.","pending_customer_reply","2017-10-30 01:07:48 | 116165: Hey @USER your app has had a “loading error” for the two weeks, thought I’d let you know I’ve been paying for aggravation rather than tv | 2017-10-30 01:07:48 | 116165: Hey @USER your app has had a “loading error” for the two weeks, thought I’d let you know I’ve been paying for aggravation rather than tv | 2017-10-30 01:07:48 | 116165: Hey @USER your app has had a “loading error” for the two weeks, thought I’d let you know I’ve been paying for aggravation rather than tv | 2017-10-30 01:07:48 | 116165: Hey @USER your app has had a “loading error” for the two weeks, thought I’d let you know I’ve been paying for aggravation rather than tv | 2017-10-31 22:41:30 | hulu_support: @USER Oh no! Does the error pop up at app launch or playback? What device is in use? For now, please try: | 2017-10-31 22:41:30 | hulu_support: @USER Oh no! Does the error pop up at app launch or playback? What device is in use? For now, please try: | 2017-10-31 22:41:30 | hulu_support: @USER Oh no! Does the error pop up at app launch or playback? What device is in use? For now, please try: | 2017-10-31 22:41:30 | hulu_support: @USER Oh no! Does the error pop up at app launch or playback? What device is in use? For now, please try:"
"116444","105","twitter_dm_reply","2017-11-01T09:00:00Z","Hi 116444, @USER We understand your frustration about the unauthorized subscription charge. We're on it! To quickly resolve this, could you DM us your email address associated with your Hulu account so we can investigate? We'll get this sorted out ASAP.","Given the customer's negative sentiment, medium urgency, simple inquiry, and impatient behavior, a quick response via Twitter DM is optimal. The customer's initial message clearly states the problem (unauthorized charge). The previous response directed the customer to call, which is not ideal for an impatient customer with a simple inquiry. Acknowledging their frustration and requesting the email address allows for a targeted investigation and a faster resolution than scheduling a phone call or sending a detailed email. The timing is within the 4-8 hour window for medium urgency and addresses the issue promptly. By requesting the email via DM, we are also protecting the customer's privacy.","pending_customer_reply","2017-10-30 01:09:31 | 116444: @USER Hi i was charged for a subscription and didn't sign up for it | 2017-10-30 01:09:31 | 116444: @USER Hi i was charged for a subscription and didn't sign up for it | 2017-10-31 22:46:26 | hulu_support: @USER Uh oh! We definitely want to look into this. Please give us a call at the phone number listed here: | 2017-10-31 22:46:26 | hulu_support: @USER Uh oh! We definitely want to look into this. Please give us a call at the phone number listed here:"
"116443","106","twitter_dm_reply","2017-10-31T09:00:08Z","Hi 116443, @USER We're sorry you're having trouble finding the episodes! All 38 subtitled episodes of My Hero Academia are available on Hulu. We also have season 1 dubbed. Could you please tell us what device you're using to watch Hulu? This will help us troubleshoot.","The customer is asking about the availability of 'My Hero Academia' episodes. While Hulu Support already responded with the available episodes, the customer is still likely experiencing an issue finding them. Given the 'quick_resolution' tag and the customer's technical behavior (likely indicating they've already tried basic troubleshooting), a quick follow-up on Twitter DM is appropriate. Asking about the device they are using will help narrow down the issue and provide more targeted assistance. The urgency is medium, so responding within 4-8 hours is acceptable, but since the previous response was recent, a faster reply is better. The customer sentiment is positive, so a friendly and helpful tone is suitable.","pending_customer_reply","2017-10-30 01:22:08 | 116443: @USER where r the rest of my hero academia ? | 2017-10-30 01:22:08 | 116443: @USER where r the rest of my hero academia ? | 2017-10-31 22:49:08 | hulu_support: @USER Hey there! All 38 subtitled episodes of My Hero Academia are currently available. We have also have all of season 1 dubbed. | 2017-10-31 22:49:08 | hulu_support: @USER Hey there! All 38 subtitled episodes of My Hero Academia are currently available. We have also have all of season 1 dubbed."
"116436","107","twitter_dm_reply","2017-11-01T09:00:00Z","Hi 116436, @USER We understand you're eager to watch Rick and Morty Season 3! While we don't have a confirmed date yet, we'll be sure to announce it on our social channels as soon as we do. In the meantime, you can check out other awesome shows like [Suggest a similar show available on Hulu]. Thanks for your patience!","Given the customer's impatient behavior and the simple inquiry about content availability, a quick response via Twitter DM is optimal. The customer has already used Twitter to inquire, indicating a preference for this channel. The urgency is medium, so a response within 4-8 hours is appropriate. The message acknowledges their eagerness, provides a reason for the lack of a specific date (no ETA), and offers an alternative suggestion to mitigate frustration. Providing a similar show to watch helps to retain the customer and shows that we are listening to their needs. The time is set to 6:00 AM UTC, which is 1:00 AM EST, which is outside of business hours. This is because the last interaction was late at night, and responding quickly, even if outside business hours, aligns with the customer's impatient behavior. Acknowledging the lack of a confirmed date sets realistic expectations.","pending_customer_reply","2017-10-30 01:32:41 | 116436: When’s season 3 of Rick and Morty going to be on @USER? | 2017-10-30 01:32:41 | 116436: When’s season 3 of Rick and Morty going to be on @USER? | 2017-10-31 22:59:20 | hulu_support: @USER We don't have an ETA on those episodes just yet. If you're interested, you can see them with: 💚 | 2017-10-31 22:59:20 | hulu_support: @USER We don't have an ETA on those episodes just yet. If you're interested, you can see them with: 💚"
"116442","108","twitter_dm_reply","2017-11-01T10:00:00Z","Hi 116442, @USER We understand your frustration about the profile selection option on Smart TVs. We don't have immediate news, but we want to assure you that we've logged your feedback and shared it with the product team. We're also happy to help with alternative solutions in the meantime. Would you be open to a quick DM to explore some workarounds for profile management on your Smart TV?","The customer is impatient and has expressed their frustration publicly on Twitter. While their sentiment is positive, their impatience and medium urgency level suggest a quick response is needed. The issue is a feature request, which is relatively simple. Given the customer's impatience, a Twitter DM reply is the best channel for a fast response. The message acknowledges their frustration, assures them their feedback is being considered, and offers a potential workaround, showing we're actively trying to help. Offering a DM allows for a more private conversation to explore workarounds without publicly committing to a timeline for the feature request. The send time is within business hours and shortly after the previous interaction, addressing the customer's impatience.","pending_customer_reply","2017-10-30 01:33:46 | 116442: Hey @USER, get your act together and put the select profile option on smart TVs already. It's been months and people do share devices. | 2017-10-30 01:33:46 | 116442: Hey @USER, get your act together and put the select profile option on smart TVs already. It's been months and people do share devices. | 2017-10-30 01:33:46 | 116442: Hey @USER, get your act together and put the select profile option on smart TVs already. It's been months and people do share devices. | 2017-10-31 22:53:48 | hulu_support: @USER Hey there! No news at this time, but we'll share the interest! For the most up-to-date info: | 2017-10-31 22:53:48 | hulu_support: @USER Hey there! No news at this time, but we'll share the interest! For the most up-to-date info: | 2017-10-31 22:53:48 | hulu_support: @USER Hey there! No news at this time, but we'll share the interest! For the most up-to-date info:"
"116859","1000","twitter_dm_reply","2017-11-01T09:00:00Z","Hi 116859, @USER We understand your frustration with the iPhone 7 issue after the update. Since it just started today, let's try a quick fix. Please try a force restart (press and quickly release the volume up button, press and quickly release the volume down button, then press and hold the side button). Let us know if that helps!","The customer is clearly impatient and frustrated, indicated by the repeated messages and exclamation points. The urgency is medium, as the issue started recently. Given the customer's impatience and the relatively simple troubleshooting step (force restart), a quick response via Twitter DM is the best approach. The message acknowledges their frustration, provides a clear and actionable step, and sets the expectation that it's a potential quick fix. We are suggesting a force restart because it is a common solution for issues that arise immediately after an update. Sending this via Twitter DM allows for a fast response, aligning with the customer's impatient behavior and the medium urgency. The time is set to the earliest possible time after the last interaction to show responsiveness.","pending_customer_reply","2017-10-31 23:08:51 | 116859: @USER please make this stop!!! | 2017-10-31 23:08:51 | 116859: @USER please make this stop!!! | 2017-10-31 23:08:51 | 116859: @USER please make this stop!!! | 2017-10-31 23:22:28 | AppleSupport: @USER Let’s work together on this behavior. How long has this been happening? Also, which device are you using? | 2017-10-31 23:22:28 | AppleSupport: @USER Let’s work together on this behavior. How long has this been happening? Also, which device are you using? | 2017-10-31 23:22:28 | AppleSupport: @USER Let’s work together on this behavior. How long has this been happening? Also, which device are you using? | 2017-10-31 23:24:03 | 116859: @USER iPhone 7 and it literally just started today. | 2017-10-31 23:24:03 | 116859: @USER iPhone 7 and it literally just started today. | 2017-10-31 23:24:03 | 116859: @USER iPhone 7 and it literally just started today. | 2017-10-31 23:24:21 | 116859: @USER AFTER I️ updated my phone. | 2017-10-31 23:24:21 | 116859: @USER AFTER I️ updated my phone. | 2017-10-31 23:24:21 | 116859: @USER AFTER I️ updated my phone. | 2017-10-31 23:32:28 | AppleSupport: @USER Does that continue after restarting your iPhone? Do you have any other iOS devices or a Mac computer? Let us know in DM. | 2017-10-31 23:32:28 | AppleSupport: @USER Does that continue after restarting your iPhone? Do you have any other iOS devices or a Mac computer? Let us know in DM. | 2017-10-31 23:32:28 | AppleSupport: @USER Does that continue after restarting your iPhone? Do you have any other iOS devices or a Mac computer? Let us know in DM."
"116987","1001","twitter_dm_reply","2017-11-01T09:00:14Z","Hi 116987, Hey @USER! Glad you're enjoying the Centurion Lounge in PHL. To clarify, are you looking for information about the lounge amenities or something else related to the airport? Let us know!","The customer's initial message expresses positive sentiment and mentions a brand mention (@USER). The nature of the request is 'product_info' and the customer is 'confused'. Given the positive sentiment, medium urgency, and the fact that the initial interaction occurred on Twitter, a Twitter DM reply is the most appropriate channel. This allows for a quick and informal response. The message acknowledges their positive feedback, attempts to clarify their request, and encourages further interaction. The timing is immediate, as it's within the same timeframe as the original tweet and falls within the acceptable response window for medium urgency.","pending_customer_reply","2017-10-31 23:09:14 | 116987: I don't need a lot to be happy - a @USER and @USER Centurion lounge in the same airport pretty much does it. PHL 👍 | 2017-10-31 23:09:14 | 116987: I don't need a lot to be happy - a @USER and @USER Centurion lounge in the same airport pretty much does it. PHL 👍 | 2017-10-31 23:21:33 | ChipotleTweets: @USER I like where your head's at. -Becky | 2017-10-31 23:21:33 | ChipotleTweets: @USER I like where your head's at. -Becky"
