message_count,customer_message_count,agent_message_count,sentiment_score,urgency_score,complexity_score,conversation_duration_minutes,avg_response_time_minutes,max_response_time_minutes,avg_customer_message_length,customer_agent_ratio,last_message_by_customer,max_consecutive_customer_messages,message_velocity,conversation_id,is_resolved,pattern_component_1,pattern_component_2,pattern_component_3,cohort,ml_cohort
1,0,1,0.0,0.0,0.23166666666666666,0,0,0,0.0,0.0,0,0,0,1,0,-0.8460936210076646,0.5455615343319569,0.6569524165762208,standard_support,0
1,1,0,-0.3182,0.3333333333333333,0.25166666666666665,0,0,0,131.0,1.0,1,1,0,1000,0,2.025822649135359,1.6051100340511486,-1.4203315917925639,frustrated_customer,5
1,0,1,0.0,0.0,0.13,0,0,0,0.0,0.0,0,0,0,1001,0,-1.0548750091211516,-0.6275453731343278,0.1720462215007994,standard_support,3
1,1,0,0.0,0.0,0.14833333333333332,0,0,0,69.0,1.0,1,1,0,1002,0,0.2123402044558491,-0.6767131187810247,-0.7423880865277488,standard_support,2
1,0,1,0.0,0.0,0.22166666666666665,0,0,0,0.0,0.0,0,0,0,1003,0,-0.8666294952483354,0.43017396966314186,0.6092567252573269,standard_support,0
1,1,0,-0.1531,0.0,0.24166666666666667,0,0,0,125.0,1.0,1,1,0,1004,0,0.1989692010345026,0.6156497422816962,-0.6762266387067386,standard_support,1
1,1,0,-0.4106,0.0,0.235,0,0,0,121.0,1.0,1,1,0,1005,0,-0.15957823661130743,0.9010281368107734,-1.3454638184353258,frustrated_customer,7
1,0,1,0.0,0.0,0.09833333333333334,0,0,0,0.0,0.0,0,0,0,1006,0,-1.1199052775499427,-0.9929393279189083,0.02100986565763536,standard_support,3
1,0,1,0.0,0.0,0.19166666666666665,0,0,0,0.0,0.0,0,0,0,1008,0,-0.928237117970348,0.08401127565669718,0.4661696513006451,standard_support,3
1,1,0,0.6908,0.0,0.24333333333333332,0,0,0,126.0,1.0,1,1,0,1009,0,1.3325848556014661,-0.5524893698557551,1.4207931675950642,standard_support,6
1,0,1,0.0,0.0,0.15833333333333333,0,0,0,0.0,0.0,0,0,0,1061,0,-0.9966900321059176,-0.30061393990601903,0.3071840135709987,standard_support,3
1,1,0,0.0,0.0,0.21333333333333335,0,0,0,108.0,1.0,1,1,0,1062,0,0.3458233870202098,0.07330605156627255,-0.4323660929549382,standard_support,1
1,0,1,0.0,0.0,0.19333333333333333,0,0,0,0.0,0.0,0,0,0,1064,0,-0.9248144722635696,0.10324253643483312,0.47411893318712744,standard_support,0
1,1,0,0.8268,0.0,0.18500000000000003,0,0,0,91.0,1.0,1,1,0,1065,0,1.3949302452053562,-1.416935992310937,1.479235668934558,standard_support,6
1,0,1,0.0,0.0,0.15166666666666664,0,0,0,0.0,0.0,0,0,0,1066,0,-1.0103806149330314,-0.3775389830185626,0.2753868860250694,standard_support,3
1,1,0,0.3164,0.0,0.27666666666666667,0,0,0,146.0,1.0,1,1,0,1067,0,0.8996225990802598,0.3589180090196712,0.6529533469278674,standard_support,1
1,1,0,-0.3595,0.0,0.11,0,0,0,46.0,1.0,1,1,0,1068,0,-0.3478409936246044,-0.6132143076212059,-1.8151621476242812,frustrated_customer,2
1,1,0,0.0,0.0,0.09333333333333334,0,0,0,36.0,1.0,1,1,0,1069,0,0.09939289613215944,-1.3113447244595062,-1.0047143887816652,standard_support,2
1,1,0,0.0,0.0,0.08166666666666667,0,0,0,29.0,1.0,1,1,0,1070,0,0.07543437618471009,-1.445963549906457,-1.0603593619870415,standard_support,2
